,Date,Province_State,Doses_admin,People_at_least_one_dose,People_fully_vaccinated,Total_additional_doses
232,2020-12-19,Arizona,3,0,0,0
233,2020-12-19,Arkansas,1514,0,0,0
234,2020-12-19,California,273,0,0,0
235,2020-12-19,Colorado,3404,0,0,0
236,2020-12-19,Connecticut,5223,0,0,0
237,2020-12-19,Delaware,1,0,0,0
238,2020-12-19,District of Columbia,0,0,0,0
239,2020-12-19,Florida,10133,0,0,0
240,2020-12-19,Georgia,198,0,0,0
241,2020-12-19,Guam,0,0,0,0
242,2020-12-19,Hawaii,2996,0,0,0
243,2020-12-19,Idaho,0,0,0,0
244,2020-12-19,Illinois,2076,0,0,0
245,2020-12-19,Indiana,2778,0,0,0
246,2020-12-19,Iowa,1693,0,0,0
247,2020-12-19,Kansas,341,0,0,0
248,2020-12-19,Kentucky,3377,0,0,0
249,2020-12-19,Louisiana,0,0,0,0
250,2020-12-19,Maine,997,0,0,0
251,2020-12-19,Maryland,521,0,0,0
252,2020-12-19,Massachusetts,2261,0,0,0
253,2020-12-19,Michigan,1076,0,0,0
254,2020-12-19,Minnesota,215,0,0,0
255,2020-12-19,Mississippi,511,0,0,0
256,2020-12-19,Missouri,5506,0,0,0
257,2020-12-19,Montana,1131,0,0,0
258,2020-12-19,Nebraska,3454,0,0,0
259,2020-12-19,Nevada,1889,0,0,0
260,2020-12-19,New Hampshire,3071,0,0,0
261,2020-12-19,New Jersey,1818,0,0,0
262,2020-12-19,New Mexico,1277,0,0,0
263,2020-12-19,New York,16887,0,0,0
264,2020-12-19,North Carolina,2788,0,0,0
265,2020-12-19,North Dakota,1933,0,0,0
266,2020-12-19,Northern Mariana Islands,0,0,0,0
267,2020-12-19,Ohio,1776,0,0,0
268,2020-12-19,Oklahoma,7324,0,0,0
269,2020-12-19,Oregon,198,0,0,0
270,2020-12-19,Pennsylvania,3580,0,0,0
271,2020-12-19,Puerto Rico,2129,0,0,0
272,2020-12-19,Rhode Island,519,0,0,0
273,2020-12-19,South Carolina,12171,0,0,0
274,2020-12-19,South Dakota,1515,0,0,0
275,2020-12-19,Tennessee,0,0,0,0
276,2020-12-19,Texas,100040,0,0,0
277,2020-12-19,Utah,81,0,0,0
278,2020-12-19,Vermont,182,0,0,0
279,2020-12-19,Virgin Islands,107,0,0,0
280,2020-12-19,Virginia,271,0,0,0
281,2020-12-19,Washington,1159,0,0,0
282,2020-12-19,West Virginia,14257,0,0,0
283,2020-12-19,Wisconsin,3279,0,0,0
284,2020-12-19,Wyoming,336,0,0,0
286,2020-12-20,Alabama,3152,0,0,0
287,2020-12-20,Alaska,1607,0,0,0
288,2020-12-20,American Samoa,0,0,0,0
289,2020-12-20,Arizona,1534,0,0,0
290,2020-12-20,Arkansas,7817,0,0,0
291,2020-12-20,California,11413,0,0,0
292,2020-12-20,Colorado,12123,0,0,0
293,2020-12-20,Connecticut,7233,0,0,0
294,2020-12-20,Delaware,399,0,0,0
295,2020-12-20,District of Columbia,0,0,0,0
296,2020-12-20,Florida,19634,0,0,0
297,2020-12-20,Georgia,1109,0,0,0
298,2020-12-20,Guam,0,0,0,0
299,2020-12-20,Hawaii,3398,0,0,0
300,2020-12-20,Idaho,0,0,0,0
301,2020-12-20,Illinois,36123,0,0,0
302,2020-12-20,Indiana,4892,0,0,0
303,2020-12-20,Iowa,6017,0,0,0
304,2020-12-20,Kansas,2119,0,0,0
305,2020-12-20,Kentucky,5798,0,0,0
306,2020-12-20,Louisiana,0,0,0,0
307,2020-12-20,Maine,2262,0,0,0
308,2020-12-20,Maryland,521,0,0,0
309,2020-12-20,Massachusetts,6995,0,0,0
310,2020-12-20,Michigan,2683,0,0,0
311,2020-12-20,Minnesota,776,0,0,0
312,2020-12-20,Mississippi,1497,0,0,0
313,2020-12-20,Missouri,12271,0,0,0
314,2020-12-20,Montana,3015,0,0,0
315,2020-12-20,Nebraska,5758,0,0,0
316,2020-12-20,Nevada,4756,0,0,0
317,2020-12-20,New Hampshire,3189,0,0,0
318,2020-12-20,New Jersey,5352,0,0,0
319,2020-12-20,New Mexico,3813,0,0,0
320,2020-12-20,New York,23063,0,0,0
321,2020-12-20,North Carolina,8784,0,0,0
322,2020-12-20,North Dakota,3413,0,0,0
323,2020-12-20,Northern Mariana Islands,0,0,0,0
324,2020-12-20,Ohio,4536,0,0,0
325,2020-12-20,Oklahoma,7324,0,0,0
326,2020-12-20,Oregon,685,0,0,0
327,2020-12-20,Pennsylvania,15119,0,0,0
328,2020-12-20,Puerto Rico,5791,0,0,0
329,2020-12-20,Rhode Island,1054,0,0,0
330,2020-12-20,South Carolina,14446,0,0,0
331,2020-12-20,South Dakota,3427,0,0,0
332,2020-12-20,Tennessee,339,0,0,0
333,2020-12-20,Texas,119518,0,0,0
334,2020-12-20,Utah,1704,0,0,0
335,2020-12-20,Vermont,1235,0,0,0
336,2020-12-20,Virgin Islands,113,0,0,0
337,2020-12-20,Virginia,271,0,0,0
338,2020-12-20,Washington,3327,0,0,0
339,2020-12-20,West Virginia,15254,0,0,0
340,2020-12-20,Wisconsin,3279,0,0,0
341,2020-12-20,Wyoming,882,0,0,0
343,2020-12-21,Alabama,5767,0,0,0
344,2020-12-21,Alaska,4239,0,0,0
345,2020-12-21,American Samoa,0,0,0,0
346,2020-12-21,Arizona,4331,0,0,0
347,2020-12-21,Arkansas,7817,0,0,0
348,2020-12-21,California,43898,0,0,0
349,2020-12-21,Colorado,22549,0,0,0
350,2020-12-21,Connecticut,7233,0,0,0
351,2020-12-21,Delaware,870,0,0,0
352,2020-12-21,District of Columbia,0,0,0,0
353,2020-12-21,Florida,32766,0,0,0
354,2020-12-21,Georgia,1109,0,0,0
355,2020-12-21,Guam,0,0,0,0
356,2020-12-21,Hawaii,3529,0,0,0
357,2020-12-21,Idaho,0,0,0,0
358,2020-12-21,Illinois,50034,0,0,0
359,2020-12-21,Indiana,12998,0,0,0
360,2020-12-21,Iowa,6940,0,0,0
361,2020-12-21,Kansas,4446,0,0,0
362,2020-12-21,Kentucky,5798,0,0,0
363,2020-12-21,Louisiana,0,0,0,0
364,2020-12-21,Maine,4034,0,0,0
365,2020-12-21,Maryland,3838,0,0,0
366,2020-12-21,Massachusetts,19078,0,0,0
367,2020-12-21,Michigan,5531,0,0,0
368,2020-12-21,Minnesota,2866,0,0,0
369,2020-12-21,Mississippi,2697,0,0,0
370,2020-12-21,Missouri,12271,0,0,0
371,2020-12-21,Montana,5258,0,0,0
372,2020-12-21,Nebraska,8375,0,0,0
373,2020-12-21,Nevada,7584,0,0,0
